candidate,year,candidatevotes,rank
"CLINTON, HILLARY",2016,65853581,1
"TRUMP, DONALD J.",2016,62985062,2
"JOHNSON, GARY",2016,4244326,3
"STEIN, JILL",2016,1393155,4
"MCMULLIN, EVAN",2016,498179,5
"CASTLE, DARRELL L.",2016,179096,6
BLANK VOTE,2016,171507,7
SCATTERING,2016,152493,8
OTHER,2016,152234,9
"LA RIVA, GLORIA ESTELLA",2016,73671,10
"CLINTON, BILL",1992,44954303,1
"BUSH, GEORGE H.W.",1992,39103872,2
"PEROT, ROSS",1992,19722042,3
"MARROU, ANDRE",1992,280848,4
BLANK VOTE/SCATTERING,1992,154653,5
OTHER,1992,94804,6
"GRITZ, JAMES """"BO""""",1992,87017,7
"FULANI, LENORA",1992,54472,8
"PHILLIPS, HOWARD",1992,36954,9
"HAGELIN, JOHN",1992,29409,10
"BUSH, GEORGE W.",2004,62028285,1
"KERRY, JOHN",2004,59028079,2
"NADER, RALPH",2004,370961,3
"BADNARIK, MICHAEL",2004,369308,4
OTHER,2004,173517,5
"PEROUTKA, MICHAEL",2004,119325,6
"COBB, DAVID",2004,115675,7
BLANK VOTE/SCATTERING,2004,76457,8
"PELTIER, LEONARD",2004,27607,9
"CALERO, ROGER",2004,10077,10
"CARTER, JIMMY",1976,40825839,1
"FORD, GERALD",1976,39145771,2
"MCCARTHY, EUGENE """"GENE""""",1976,676701,3
"MACBRIDE, ROGER",1976,171266,4
"MADDOX, LESTER",1976,168623,5
OTHER,1976,165478,6
"ANDERSON, THOMAS J.",1976,147835,7
"CAMEJO, PETER",1976,89737,8
"HALL, GUS",1976,57721,9
"WRIGHT, MARGARET",1976,46914,10
"BIDEN, JOSEPH R. JR",2020,81268908,1
"TRUMP, DONALD J.",2020,74216146,2
"JORGENSEN, JO",2020,1865723,3
"HAWKINS, HOWIE",2020,405034,4
"DE LA FUENTE, ROQUE """"ROCKY""""",2020,88234,5
BLANK VOTES,2020,87177,6
"LA RIVA, GLORIA ESTELLA",2020,85614,7
"WEST, KANYE",2020,70296,8
"CARROLL, BRIAN",2020,61191,9
"BLANKENSHIP, DON",2020,60048,10
"BUSH, GEORGE H.W.",1988,48886097,1
"DUKAKIS, MICHAEL",1988,41809074,2
"PAUL, RONALD """"RON""""",1988,410971,3
"FULANI, LENORA",1988,226334,4
"DUKE, DAVID",1988,31628,5
"MCCARTHY, EUGENE """"GENE""""",1988,28015,6
"WINN, EDWARD",1988,22619,7
"MARRA, WILLIAM A.",1988,20497,8
"LAROUCHE, LYNDON, JR.",1988,14491,9
"DODGE, EARL",1988,11318,10
"OBAMA, BARACK H.",2008,69498459,1
"MCCAIN, JOHN",2008,59948283,2
"NADER, RALPH",2008,721039,3
"BARR, BOB",2008,502821,4
"BALDWIN, CHARLES """"CHUCK""""",2008,170824,5
"MCKINNEY, CYNTHIA",2008,157601,6
BLANK VOTE/SCATTERING,2008,106711,7
"KEYES, ALAN",2008,46274,8
OTHER,2008,28527,9
"PAUL, RONALD """"RON""""",2008,20006,10
"REAGAN, RONALD",1984,54455073,1
"MONDALE, WALTER",1984,37568137,2
"BERGLAND, DAVID",1984,227204,3
"LAROUCHE, LYNDON, JR.",1984,78773,4
"JOHNSON, SONIA",1984,71976,5
"RICHARDS, BOB",1984,66241,6
"SERRETTE, DENNIS",1984,58899,7
"HALL, GUS",1984,36225,8
"MASON, MELVIN",1984,24681,9
"HOLMES, LARRY",1984,17983,10
"REAGAN, RONALD",1980,43898770,1
"CARTER, JIMMY",1980,35480948,2
"ANDERSON, JOHN B.",1980,5719222,3
"CLARK, EDWARD """"ED""""",1980,920049,4
"COMMONER, BARRY",1980,232533,5
"HALL, GUS",1980,43896,6
"RARICK, JOHN",1980,41157,7
"DEBERRY, CLIFTON",1980,38696,8
"MCCORMACK, ELLEN",1980,32319,9
"SMITH, MAUREEN",1980,18106,10
"GORE, AL",2000,50996062,1
"BUSH, GEORGE W.",2000,50456169,2
"NADER, RALPH",2000,2542163,3
"BROWNE, HARRY",2000,374630,4
"BUCHANAN, PATRICK """"PAT""""",2000,355412,5
BLANK VOTE/SCATTERING,2000,169238,6
NOT DESIGNATED,2000,151723,7
"PHILLIPS, HOWARD",2000,84457,8
"HAGELIN, JOHN",2000,80274,9
OTHER,2000,8895,10
"OBAMA, BARACK H.",2012,65899660,1
"ROMNEY, MITT",2012,59641482,2
"MITT, ROMNEY",2012,1290670,3
"JOHNSON, GARY",2012,1216400,4
"STEIN, JILL",2012,449401,5
"GOODE, VIRGIL HAMLIN, JR.",2012,114345,6
"BARR, ROSEANNE",2012,67035,7
BLANK VOTE/VOID VOTE/SCATTERING,2012,63881,8
"HOEFLING, THOMAS CONRAD """"TOM""""",2012,39997,9
"ANDERSON, ROSS CARL """"ROCKY""""",2012,28459,10
"CLINTON, BILL",1996,47401898,1
"DOLE, ROBERT",1996,39198482,2
"PEROT, ROSS",1996,7541700,3
"NADER, RALPH",1996,526794,4
"BROWNE, HARRY",1996,465351,5
"PHILLIPS, HOWARD",1996,170869,6
BLANK VOTE/SCATTERING,1996,123000,7
"HAGELIN, JOHN",1996,103855,8
"MOOREHEAD, MONICA",1996,26412,9
"FEINLAND, MARSHA",1996,25332,10